EstablishmentName,Easting,Northing
St Peter's London Docks CofE Primary School,535063,180371
St Saviour's Church of England Primary School,537666,181580
English Martyrs Roman Catholic Primary School,533902,181086
Holy Family Catholic School,537507,180862
Bow School,537368,182962
Langdon Park Community School,538021,181467
Morpeth School,535529,182654
Mulberry School for Girls,534736,181259
Stepney Green Mathematics and Computing College,535898,181752
St Paul's Way Trust School,537149,181815
Oaklands School,534550,182928
Swanlea School,534690,181987
George Green's School,538426,178457
Central Foundation Girls' School,536906,182856
Sir John Cass Foundation and Redcoat Church of England Secondary School,535821,181528
Bishop Challoner Catholic Collegiate Girls School,535328,181182
Raine's Foundation School,534791,183010
Gatehouse School,535583,183278
Madani Secondary Girls' School,534514,181414
Bowden House School,548366,99940
Phoenix School,536992,182799
Beatrice Tate School,534868,182994
Balham Nursery School,528360,173530
Eastwood Nursery School,521997,174014
Somerset Nursery School,526857,176810
Francis Barber Pupil Referral Unit,527840,171331
Alderbrook Primary School,528663,173802
Allfarthing Primary School,526161,174286
Beatrix Potter Primary School,526418,173238
Sir James Barrie Primary School,529387,176675
Brandlehow Primary School,524669,175124
Broadwater Primary School,527103,171838
Chesterton Primary School,528113,176595
Eardley School,529388,170794
Earlsfield Primary School,526162,172951
Falconbrook Primary School,526881,175971
Fircroft Primary School,527649,172521
Franciscan Primary School,528020,171453
Furzedown Primary School,528505,170892
High View Primary School,526899,175236
Honeywell Junior School,527750,174463
Honeywell Infant School,527750,174463
Hotham Primary School,523675,175472
John Burns Primary School,528402,176123
Penwortham Primary School,528964,170848
Ravenstone Primary School,528424,173004
Riversdale Primary School,525248,173488
Sellincourt Primary School,527435,170988
Shaftesbury Park Primary School,528099,176014
Smallwood Primary School and Language Unit,526650,171795
Swaffield Primary School,526161,174028
West Hill Primary School,525241,174576
Wix Primary School,528515,175503
Sheringdale Primary School,524906,173501
Southmead Primary School,524070,173321
Granard Primary School,522909,174502
Heathmere Primary School,522275,173317
Ronald Ross Primary School,524020,173827
Albemarle Primary School,524238,172951
The Alton School,521816,174000
"All Saints' CofE Primary School, Putney",523226,175760
Christ Church CofE Primary School,527406,175840
Holy Ghost Catholic Primary School,528154,173676
Our Lady of Victories Catholic Primary School,523640,175351
Roehampton CofE Primary School,522568,173689
St Anne's CofE Primary School,525950,174606
St Boniface RC Primary School,527651,171395
St Faith's CofE Primary School,526093,174932
St George's CofE Primary School,529322,176967
St Joseph's RC Primary School,525119,174894
